;Fecha;Ronda;Equipo Local;Resultado Local;Equipo Visitante;Resultado Visitante;Cancha;Condición;URL;Competición
0;1908-05-03;Fecha 1;Belgrano Ath II A;1;Boca;3;Belgrano Athletic;V;partido/belgrano-ath-ii-a-1-boca-3-segunda-division-1908/5053/1908/1017/1.html;Segunda Division 1908
1;1908-05-10;Fecha 2;Boca;7;Bernal;0;Boca Juniors;L;partido/boca-7-bernal-0-segunda-division-1908/5054/1908/1017/2.html;Segunda Division 1908
2;1908-05-17;Fecha 3;Continental B;1;Boca;1;Continental;V;partido/continental-b-1-boca-1-segunda-division-1908/5055/1908/1017/3.html;Segunda Division 1908
3;1908-05-24;Fecha 4;Bernal;1;Boca;5;Bernal;V;partido/bernal-1-boca-5-segunda-division-1908/5056/1908/1017/4.html;Segunda Division 1908
4;1908-05-31;Fecha 5;Boca;1;La Plata F. C.;0;Boca Juniors;L;partido/boca-1-la-plata-f-c-0-segunda-division-1908/5057/1908/1017/5.html;Segunda Division 1908
5;1908-06-07;Fecha 6;Villa Ballester;1;Boca;2;Villa Ballester;V;partido/villa-ballester-1-boca-2-segunda-division-1908/5058/1908/1017/6.html;Segunda Division 1908
6;1908-06-14;Primera Fase. Partido Único;Estudiantil P.;1;Boca;2;Estudiantil Porteño;V;partido/estudiantil-p-1-boca-2-copa-bullrich-1908/5067/1908/80/1.html;Copa Bullrich 1908
7;1908-06-28;Fecha 7;Boca;1;Belgrano Ath II A;0;Boca Juniors;L;partido/boca-1-belgrano-ath-ii-a-0-segunda-division-1908/5059/1908/1017/7.html;Segunda Division 1908
8;1908-07-05;Segunda Fase. Partido Único;Boca;0;Atlanta;5;Ferro Carril Oeste;N;partido/boca-0-atlanta-5-copa-bullrich-1908/5068/1908/80/2.html;Copa Bullrich 1908
9;1908-07-09;Fecha 8;Boca;3;Continental B;1;Boca Juniors;L;partido/boca-3-continental-b-1-segunda-division-1908/5060/1908/1017/8.html;Segunda Division 1908
10;1908-07-19;Fecha 9;San Isidro II;0;Boca;1;San Isidro;V;partido/san-isidro-ii-0-boca-1-segunda-division-1908/5061/1908/1017/9.html;Segunda Division 1908
11;1908-07-26;Fecha 10;Boca;2;GEBA;0;Boca Juniors;L;partido/boca-2-geba-0-segunda-division-1908/5062/1908/1017/10.html;Segunda Division 1908
12;1908-08-30;Fecha 11;La Plata F. C.;2;Boca;2;La Plata F. C.;V;partido/la-plata-f-c-2-boca-2-segunda-division-1908/5063/1908/1017/11.html;Segunda Division 1908
13;1908-09-13;Fecha 12;Boca;4;San Isidro II;0;Boca Juniors;L;partido/boca-4-san-isidro-ii-0-segunda-division-1908/5064/1908/1017/12.html;Segunda Division 1908
14;1908-10-11;Fecha 13;GEBA;2;Boca;2;Gimnasia y Esgrima (Buenos Aires);V;partido/geba-2-boca-2-segunda-division-1908/5065/1908/1017/13.html;Segunda Division 1908
15;1908-12-06;Semifinales. Partido Único;Boca;0;Racing;1;Gimnasia y Esgrima (Buenos Aires);N;partido/boca-0-racing-1-segunda-division-1908/5066/1908/1017/14.html;Segunda Division 1908
16;1909-05-02;Fecha 1;River Plate B;0;Boca;1;River Plate;V;partido/river-plate-b-0-boca-1-segunda-division-1909/5069/1909/1018/1.html;Segunda Division 1909
17;1909-05-16;Fecha 2;Boca;5;Kimberley;3;Boca Juniors;L;partido/boca-5-kimberley-3-segunda-division-1909/5070/1909/1018/2.html;Segunda Division 1909
18;1909-05-20;Ronda Preliminar. Partido Único;Boca;3;Estudiantes II;1;Boca Juniors;L;partido/boca-3-estudiantes-ii-1-copa-bullrich-1909/5081/1909/82/1.html;Copa Bullrich 1909
19;1909-05-30;1ra. Fase. Partido Único;Boca;3;Junín;1;Boca Juniors;L;partido/boca-3-junin-1-copa-bullrich-1909/5082/1909/82/2.html;Copa Bullrich 1909
20;1909-06-27;Fecha 3;Boca;0;Racing;1;Boca Juniors;L;partido/boca-0-racing-1-segunda-division-1909/5071/1909/1018/3.html;Segunda Division 1909
21;1909-07-04;Fecha 4;Kimberley;0;Boca;0;Kimberley;V;partido/kimberley-0-boca-0-segunda-division-1909/5072/1909/1018/4.html;Segunda Division 1909
22;1909-07-18;2da. Fase. Partido Único;Boca;3;Estudiantil P.;4;Boca Juniors;L;partido/boca-3-estudiantil-p-4-copa-bullrich-1909/5083/1909/82/3.html;Copa Bullrich 1909
23;1909-07-25;Fecha 5;Royal;0;Boca;4;Boca Juniors;V;partido/royal-0-boca-4-segunda-division-1909/5073/1909/1018/5.html;Segunda Division 1909
24;1909-08-08;Fecha 6;Ferro;2;Boca;2;Ferro Carril Oeste;V;partido/ferro-2-boca-2-segunda-division-1909/5074/1909/1018/6.html;Segunda Division 1909
25;1909-08-15;Fecha 7;Boca;0;Quilmes B;0;Boca Juniors;L;partido/boca-0-quilmes-b-0-segunda-division-1909/5075/1909/1018/7.html;Segunda Division 1909
26;1909-08-29;Fecha 8;Quilmes B;1;Boca;1;Quilmes;V;partido/quilmes-b-1-boca-1-segunda-division-1909/5076/1909/1018/8.html;Segunda Division 1909
27;1909-09-12;Fecha 9;Boca;4;River Plate B;0;Boca Juniors;L;partido/boca-4-river-plate-b-0-segunda-division-1909/5077/1909/1018/9.html;Segunda Division 1909
28;1909-09-19;Fecha 10;Boca;2;Pretender;0;Boca Juniors;L;partido/boca-2-pretender-0-segunda-division-1909/5078/1909/1018/10.html;Segunda Division 1909
29;1909-09-26;Fecha 11;Racing;2;Boca;0;Racing Club;V;partido/racing-2-boca-0-segunda-division-1909/5079/1909/1018/11.html;Segunda Division 1909
30;1909-10-03;Fecha 12;Boca;2;Ferro;0;Boca Juniors;L;partido/boca-2-ferro-0-segunda-division-1909/5080/1909/1018/12.html;Segunda Division 1909
31;1910-05-05;Primera Fase. Partido Único;Boca;0;Nacional;1;Boca Juniors;L;partido/boca-0-nacional-1-copa-bullrich-1910/5103/1910/81/1.html;Copa Bullrich 1910
32;1911-04-30;Fecha 1;Boca;1;Nacional;2;Boca Juniors;L;partido/boca-1-nacional-2-division-intermedia-1911/5104/1911/1020/1.html;Division Intermedia 1911
33;1911-05-07;Fecha 2;Estudiantes (LP);0;Boca;0;Estudiantes (La Plata);V;partido/estudiantes-lp-0-boca-0-division-intermedia-1911/5105/1911/1020/2.html;Division Intermedia 1911
34;1911-05-21;Primera Fase. Partido Único;Boca;3;Argentino (Q);1;Boca Juniors;L;partido/boca-3-argentino-q-1-copa-bullrich-1911/5123/1911/80/1.html;Copa Bullrich 1911
35;1911-05-28;Fecha 3;Independiente;3;Boca;1;Independiente;V;partido/independiente-3-boca-1-division-intermedia-1911/5106/1911/1020/3.html;Division Intermedia 1911
36;1911-06-04;Fecha 4;Boca;2;Independiente;1;Boca Juniors;L;partido/boca-2-independiente-1-division-intermedia-1911/5107/1911/1020/4.html;Division Intermedia 1911
37;1911-06-11;Fecha 5;Boca;4;Comercio;0;Boca Juniors;L;partido/boca-4-comercio-0-division-intermedia-1911/5108/1911/1020/5.html;Division Intermedia 1911
